city,country,lat,lon,source,oid,state,comments
Vaasa,Finland,63.1,21.6,manually from http://www.astro.com/atlas/,977,NULL,NULL
Neuilly Sur Seine,France,48.8833,2.26667,manually from http://www.astro.com/atlas/,978,NULL,NULL
St.Lambert,France,48.7333,2.01667,manually from http://www.astro.com/atlas/,979,NULL,NULL
Villeneuve DAscq,France,50.6167,3.16667,manually from http://www.astro.com/atlas/,980,NULL,NULL
Esslingen,Germany,48.75,9.26667,manually from http://www.astro.com/atlas/,981,NULL,NULL
Hildesheim,Germany,52.15,9.95,manually from http://www.astro.com/atlas/,982,NULL,NULL
Mainz,Germany,50.0167,8.26667,manually from http://www.astro.com/atlas/,983,NULL,NULL
Mannheim,Germany,49.4833,8.48333,manually from http://www.astro.com/atlas/,984,NULL,NULL
Saarbruecken,Germany,49.2333,6.98333,manually from http://www.astro.com/atlas/,985,NULL,NULL
St.Augustin,Germany,50.7833,7.16667,manually from http://www.astro.com/atlas/,986,NULL,NULL
Cibinong,Indonesia,-6.45,106.85,manually from http://www.astro.com/atlas/,987,NULL,NULL
Firenze,Italy,43.7667,11.25,manually from http://www.astro.com/atlas/,988,NULL,NULL
Genova,Italy,44.4167,8.95,manually from http://www.astro.com/atlas/,989,NULL,NULL
